Gene ID,Gene Name,Score(d),Numerator(r),Denominator(s+s0),FoldChange,q-value(%),PEP,Log10FoldChange,AbsLog10FoldChange
MMP11,MMP11,5222,6.506,6479,995.853,67.772,0,FALSE,1.83105030216869,1.83105030216869
INHBA,INHBA,4175,6.367,6341,995.853,12.212,0,TRUE,1.08678679562662,1.08678679562662
WISP1,WISP1,9961,6.337,6311,995.853,14.137,0,TRUE,1.15035725799852,1.15035725799852
COL11A1,COL11A1,1866,6.309,6283,995.853,94.065,0,TRUE,1.97342805983103,1.97342805983103
NEK2,NEK2,5649,6.306,6280,995.853,24.139,0,FALSE,1.38271927473078,1.38271927473078
RABIF,RABIF,7090,6.302,6276,995.853,2.232,0,FALSE,0.348694190265541,0.348694190265541
SLC35A2,SLC35A2,8127,6.295,6269,995.853,2.39,0,FALSE,0.378397900948138,0.378397900948138
HSD17B6,HSD17B6,3982,6.24,6214,995.853,8.833,0,FALSE,0.946108230436906,0.946108230436906
UBE2T,UBE2T,9632,6.239,6213,995.853,8.226,0,FALSE,0.915188705173156,0.915188705173156
SPC25,SPC25,8433,6.222,6196,995.853,9.065,0,FALSE,0.957367808431527,0.957367808431527
AURKA,AURKA,796,6.208,6182,995.853,7.053,0,FALSE,0.848373883844602,0.848373883844602
CKS2,CKS2,1743,6.204,6178,995.853,4.949,0,FALSE,0.694517453811156,0.694517453811156
TRIM59,TRIM59,9406,6.196,6170,995.853,4.264,0,TRUE,0.629817196018516,0.629817196018516
CCNE2,CCNE2,1412,6.195,6169,995.853,6.908,0,FALSE,0.839352328895421,0.839352328895421
TPX2,TPX2,9342,6.195,6169,995.853,10.772,0,TRUE,1.03229634473947,1.03229634473947
CDCA8,CDCA8,1540,6.194,6168,995.853,6.868,0,FALSE,0.836830286488879,0.836830286488879
CDK1,CDK1,1560,6.192,6166,995.853,8.205,0,FALSE,0.914078585389112,0.914078585389112
PARP1,PARP1,6118,6.181,6155,995.853,2.138,0,FALSE,0.330007700872759,0.330007700872759
NUF2,NUF2,5908,6.167,6141,995.853,14.421,0,FALSE,1.15899537684831,1.15899537684831
GPRIN1,GPRIN1,3666,6.166,6140,995.853,5.895,0,FALSE,0.770483809431108,0.770483809431108
PAQR4,PAQR4,6101,6.165,6139,995.853,4.971,0,FALSE,0.696443763138999,0.696443763138999
PAFAH1B3,PAFAH1B3,6063,6.164,6138,995.853,4.99,0,FALSE,0.69810054562339,0.69810054562339
TPM3,TPM3,9327,6.157,6131,995.853,2.228,0,TRUE,0.347915186501691,0.347915186501691
INTS7,INTS7,4202,6.144,6119,995.853,2.348,0,FALSE,0.370698092575577,0.370698092575577
CCNB1,CCNB1,1404,6.143,6118,995.853,4.861,0,FALSE,0.686725621074542,0.686725621074542
H2AFY,H2AFY,3765,6.14,6115,995.853,2.039,0,FALSE,0.30941722577814,0.30941722577814
ASF1B,ASF1B,663,6.137,6112,995.853,7.75,0,TRUE,0.88930170250631,0.88930170250631
UHRF1,UHRF1,9693,6.134,6109,995.853,12.581,0,FALSE,1.09971516235102,1.09971516235102
ANLN,ANLN,434,6.128,6103,995.853,11.506,0,TRUE,1.06092436968948,1.06092436968948
CEP55,CEP55,1622,6.125,6100,995.853,11.062,0,FALSE,1.04383365413315,1.04383365413315
BUB1,BUB1,1024,6.119,6094,995.853,12.537,0,FALSE,1.09819362586329,1.09819362586329
MELK,MELK,5107,6.111,6086,995.853,13.448,0,FALSE,1.12865770043141,1.12865770043141
DLGAP5,DLGAP5,2399,6.11,6085,995.853,13.915,0,FALSE,1.14348321067006,1.14348321067006
LRRC15,LRRC15,4778,6.107,6082,995.853,16.094,0,FALSE,1.20666399699094,1.20666399699094
SKA3,SKA3,7985,6.106,6081,995.853,8.359,0,FALSE,0.922154325231059,0.922154325231059
UBE2C,UBE2C,9610,6.105,6080,995.853,16.169,0,FALSE,1.20868316103742,1.20868316103742
KIF23,KIF23,4479,6.104,6079,995.853,6.67,0,FALSE,0.824125833916549,0.824125833916549
CENPL,CENPL,1607,6.103,6078,995.853,2.598,0,TRUE,0.414639146737009,0.414639146737009
MMP13,MMP13,5224,6.103,6078,995.853,84.777,0,TRUE,1.92827804414423,1.92827804414423
PKMYT1,PKMYT1,6461,6.103,6078,995.853,18.178,0,FALSE,1.25954609908702,1.25954609908702
KCTD5,KCTD5,4400,6.098,6073,995.853,1.944,0,FALSE,0.288696260590256,0.288696260590256
KIF20A,KIF20A,4474,6.096,6071,995.853,14.028,0,FALSE,1.14699575720946,1.14699575720946
NDC80,NDC80,5588,6.096,6071,995.853,10.137,0,FALSE,1.00590944649456,1.00590944649456
RUSC1,RUSC1,7605,6.095,6070,995.853,2.373,0,FALSE,0.375297738217339,0.375297738217339
FN1,FN1,3261,6.094,6069,995.853,9.374,0,TRUE,0.971924949184191,0.971924949184191
CKAP2L,CKAP2L,1737,6.091,6066,995.853,10.93,0,TRUE,1.0386201619497,1.0386201619497
DTL,DTL,2539,6.091,6066,995.853,8.912,0,FALSE,0.949975177829654,0.949975177829654
KIF11,KIF11,4463,6.083,6058,995.853,5.972,0,TRUE,0.776119799052988,0.776119799052988
NUSAP1,NUSAP1,5937,6.083,6058,995.853,8.952,0,FALSE,0.951920073520294,0.951920073520294
ERCC6L,ERCC6L,2842,6.082,6057,995.853,7.14,0,FALSE,0.853698211776174,0.853698211776174
ZWINT,ZWINT,10461,6.081,6056,995.853,5.597,0,FALSE,0.74795530690673,0.74795530690673
ESM1,ESM1,2868,6.08,6055,995.853,7.55,0,TRUE,0.877946951629188,0.877946951629188
TIMM17A,TIMM17A,8993,6.076,6051,995.853,2.046,0,FALSE,0.310905629376141,0.310905629376141
GJB2,GJB2,3504,6.075,6050,995.853,18.005,0,FALSE,1.2553931257073,1.2553931257073
HJURP,HJURP,3887,6.074,6049,995.853,11.218,0,FALSE,1.0499154356735,1.0499154356735
TK1,TK1,9013,6.067,6042,995.853,7.082,0,FALSE,0.850155922422092,0.850155922422092
KIF2C,KIF2C,4485,6.066,6041,995.853,10.607,0,FALSE,1.02559256885167,1.02559256885167
COMP,COMP,1908,6.064,6039,995.853,31.082,0,FALSE,1.49250895610758,1.49250895610758
CCNB2,CCNB2,1405,6.062,6037,995.853,9.678,0,FALSE,0.985785617772605,0.985785617772605
POLR3K,POLR3K,6643,6.059,6034,995.853,2.43,0,FALSE,0.385606273598312,0.385606273598312
COPB2,COPB2,1913,6.057,6032,995.853,1.766,0,FALSE,0.24699069924155,0.24699069924155
IQGAP3,IQGAP3,4224,6.054,6029,995.853,15.186,0,FALSE,1.1814433955419,1.1814433955419
HMMR,HMMR,3916,6.05,6025,995.853,10.765,0,TRUE,1.03201403415951,1.03201403415951
