EnsembleID,EnsGene,HumanSymbol,Tumor_Expression_Pattern,Carcinoma_Expression_Pattern,Adenoma_Expression_Pattern
6670,ENSCAFG00000011984,SPP2,5.12807E-06,0.431887823,1
4641,ENSCAFG00000008467,EDIL3,1.04497E-05,0.698471429,1
11079,ENSCAFG00000019753,RBP7,1.04497E-05,0.692486033,1
13367,ENSCAFG00000031609,C1orf115,1.35426E-05,0.60063985,1
11233,ENSCAFG00000019985,COL11A1,1.61626E-05,0.139888996,1
11156,ENSCAFG00000019880,GPSM2,1.75023E-05,0.379217495,1
6347,ENSCAFG00000011405,TXNIP,2.06753E-05,0.594115879,1
3301,ENSCAFG00000005887,GALNT15,2.86297E-05,0.304719826,1
8395,ENSCAFG00000015068,ITIH3,3.28654E-05,0.461172776,1
8828,ENSCAFG00000015885,FKBP10,3.55252E-05,0.423041479,1
12764,ENSCAFG00000029993,DDAH1,4.06022E-05,0.522467882,1
13398,ENSCAFG00000031675,COL8A1,5.17559E-05,0.585418261,1
5931,ENSCAFG00000010709,ADAMTS17,8.42392E-05,0.092021199,1
8349,ENSCAFG00000014992,FMO3,8.44189E-05,0.319013728,1
12324,ENSCAFG00000028810,GPIHBP1,8.86814E-05,1,0.685391279
7223,ENSCAFG00000012915,BTNL9,9.13816E-05,0.621782026,1
13667,ENSCAFG00000032355,ENSCAFG00000032355,0.000116345,1,0.627454405
12036,ENSCAFG00000025410,FABP4,0.000118118,1,0.690044682
2826,ENSCAFG00000005096,ITIH5,0.000126878,0.515927884,1
9932,ENSCAFG00000017765,GRIA1,0.000144664,0.591157603,1
7021,ENSCAFG00000012586,RERGL,0.000175359,0.621753747,1
7852,ENSCAFG00000014049,CLEC3B,0.000175359,0.692724534,1
3553,ENSCAFG00000006401,CD36,0.00022106,0.543173797,1
6052,ENSCAFG00000010885,TPPP,0.000228327,0.466822045,1
8863,ENSCAFG00000015949,ALOX15,0.00023087,0.689633225,1
3715,ENSCAFG00000006695,SLCO2A1,0.000254646,0.484080771,1
8052,ENSCAFG00000014429,CD300LG,0.000267615,0.67545896,1
12148,ENSCAFG00000027674,RNU4ATAC3P,0.000279299,0.393593046,1
4429,ENSCAFG00000007974,ENSCAFG00000007974,0.00028243,0.397435042,1
