1A,LumA
1C,Basal
1E,Normal
1F,Basal
2A,LumA
2B,LumA
2C,LumA
2D,LumA
2E,LumA
2F,Basal
3A,Normal
3B,Normal
3C,LumA
3D,Normal
4A,Normal
4B,LumA
4C,Normal
4D,Normal
4E,LumA
4F,Normal
6A,Normal
6B,Normal
6C,Basal
6D,Normal
6E,LumA
8A,Normal
8B,Normal
8C,Normal
8D,LumA
8E,LumA
9A1,Normal
9B,Normal
9C,Normal
9D,Normal
9E,LumA
9F,Normal
9G,Normal
10A,Normal
10B,Basal
10C,Normal
10D,LumA
10F,Normal
11A,Normal
11B,Basal
11C,Normal
11E,Normal
11F,Normal
11G,Normal
11H,Normal
11I,Normal
11J,Basal
12A,Normal
12B,LumA
12C,Normal
12D,Normal
13A,Normal
13B,LumA
13C,LumA
13D,Basal
13E,Normal
13F,Normal
13G,Basal
14A,LumB
14B,LumA
14C,Normal
14D,Normal
14E,Normal
14F,Normal
14G,Normal
15A,Normal
15B,LumA
15C,Normal
16A,LumA
16B,Normal
16C,Normal
16D,Normal
16E,Normal
16F,Normal
17A,Normal
17B,LumA
17C,Normal
17D,LumA
18A,Normal
18B,Normal
18C,LumA
18D,Normal
18E,Basal
18F,Normal
18G,Normal
