Sample1,Her2
Sample2,Normal
Sample3,LumA
Sample4,LumA
Sample5,Normal
Sample6,Normal
Sample7,LumB
Sample8,Normal
Sample9,Normal
Sample10,Normal
Sample11,Normal
Sample12,Normal
Sample13,Normal
Sample14,LumA
Sample15,LumA
Sample16,LumA
Sample17,Normal
Sample18,Normal
Sample19,Normal
Sample20,Normal
Sample21,Normal
Sample22,LumA
Sample23,Normal
Sample24,Normal
Sample25,Normal
Sample26,Normal
Sample27,LumA
Sample28,Normal
Sample29,Normal
Sample30,Normal
Sample31,LumA
Sample32,LumA
Sample33,Normal
Sample34,Normal
Sample35,LumA
Sample36,Normal
Sample37,Normal
Sample38,Normal
Sample39,Normal
Sample40,LumA
Sample41,Normal
Sample42,Normal
Sample43,Normal
Sample44,Normal
Sample45,Normal
Sample46,LumA
Sample47,Normal
Sample48,Normal
Sample49,LumA
Sample50,LumA
Sample51,LumB
Sample52,LumA
Sample53,LumA
Sample54,Normal
Sample55,LumA
Sample56,Normal
Sample57,Normal
Sample58,LumA
Sample59,Normal
Sample60,Normal
Sample61,Normal
Sample62,Normal
Sample63,LumA
Sample64,LumA
Sample65,Normal
Sample66,Normal
Sample67,Normal
Sample68,Normal
Sample69,Normal
Sample70,LumB
Sample71,Normal
Sample72,Normal
Sample73,Basal
Sample74,Normal
Sample75,Normal
Sample76,Normal
Sample77,LumA
Sample78,LumA
Sample79,LumA
Sample80,Normal
Sample81,LumA
Sample82,LumA
Sample83,LumA
Sample84,LumA
Sample85,Normal
Sample86,Normal
Sample87,Normal
Sample88,LumA
Sample89,LumA
