Can_Ens	Hum_Symb
ENSCAFG00000022739	MT-ND5
ENSCAFG00000022740	MT-ND6
ENSCAFG00000031925	VIS1
ENSCAFG00000020616	MIR135B
ENSCAFG00000027856	RNU6-717P
ENSCAFG00000020632	MIR331
ENSCAFG00000027807	AC078785.1
ENSCAFG00000022001	SNORA9
ENSCAFG00000026148	SNORD48
ENSCAFG00000027614	SNORA71E
ENSCAFG00000028135	RNU5E-10P
ENSCAFG00000028405	RNU6-1045P
ENSCAFG00000022704	SNORA24
ENSCAFG00000025748	SNORD102
ENSCAFG00000027900	SNORA70
ENSCAFG00000027890	RNA5-8S5
ENSCAFG00000020646	MIR365B
ENSCAFG00000026908	RNU6-1240P
ENSCAFG00000028180	RNU6-981P
ENSCAFG00000022442	RNU4-70P
ENSCAFG00000020536	MIR214
ENSCAFG00000027901	SCARNA13
ENSCAFG00000025709	MIR582
ENSCAFG00000020547	MIR148A
ENSCAFG00000028668	RNU6-1261P
ENSCAFG00000020638	MIR19B1
ENSCAFG00000026648	RNU6ATAC41P
ENSCAFG00000030420	HOTAIRM1_2
ENSCAFG00000027921	AC009121.1
ENSCAFG00000031734	Pinc
ENSCAFG00000025966	U6
ENSCAFG00000021680	SNORD113-5
ENSCAFG00000020995	RNU6-1091P
ENSCAFG00000028355	RNU6-1172P
ENSCAFG00000020487	MIR15A
ENSCAFG00000020470	MIR181B2
ENSCAFG00000020452	MIR29A
ENSCAFG00000022270	RNU1-21P
ENSCAFG00000025971	SNORD42A
ENSCAFG00000026199	SNORD72
ENSCAFG00000027247	5S_rRNA
ENSCAFG00000029962	MEG3_2
ENSCAFG00000028363	SNORA81
ENSCAFG00000027479	RNU6-40P
ENSCAFG00000020669	RNA5SP18
ENSCAFG00000020624	MIRLET7A1
ENSCAFG00000022539	RNU6-377P
ENSCAFG00000025856	SNORA17
ENSCAFG00000027368	RNU6-178P
ENSCAFG00000028226	RNU4-22P
ENSCAFG00000021275	SNORD1B
ENSCAFG00000026620	SNORD93
ENSCAFG00000027674	RNU4ATAC3P
ENSCAFG00000020496	MIRLET7C
ENSCAFG00000020590	MIR383
ENSCAFG00000032503	RNU6-1162P
ENSCAFG00000022361	RNU6-936P
ENSCAFG00000029856	Xist_exon4
ENSCAFG00000028290	RN7SKP179
ENSCAFG00000021217	RNU4-72P
ENSCAFG00000028391	MIR1180
ENSCAFG00000026245	SNORD22
ENSCAFG00000026397	RNU6-809P
ENSCAFG00000020598	MIR101-1
ENSCAFG00000026498	MIR940
ENSCAFG00000027412	RNU6-571P
ENSCAFG00000028369	RNU6-564P
ENSCAFG00000025941	RNU6-291P
ENSCAFG00000026333	RNU6-808P
ENSCAFG00000021512	RNU6-22P
ENSCAFG00000020558	MIR7-3
ENSCAFG00000028034	SNORD54
ENSCAFG00000025665	MIR146A
ENSCAFG00000022843	MIR675
ENSCAFG00000026688	AC114302.1
ENSCAFG00000027291	RN7SKP275
ENSCAFG00000029122	ZEB2_AS1_3
ENSCAFG00000027548	SNORA62
ENSCAFG00000025649	MIR145
ENSCAFG00000020495	MIR23A
ENSCAFG00000026621	MIR1307
ENSCAFG00000027936	RNA5SP282
ENSCAFG00000029763	CDKN2B-AS
ENSCAFG00000029159	MIAT_exon5_3
ENSCAFG00000020578	MIR125B2
ENSCAFG00000026235	SNORD14A
ENSCAFG00000026364	RNU6-805P
ENSCAFG00000021602	RNU6-47P
ENSCAFG00000021628	SNORA69
ENSCAFG00000031817	Xist_exon1
ENSCAFG00000026723	SNORA11
ENSCAFG00000020549	MIR9-1
